quote,tags
love can be found in unexpected places sometimes we go out searching for what we think we want and we end up with what were supposed to have,love
but then the life spans started getting longer and people started having more and more future and so they spent more time thinking about it about the future and now life has become the future every moment of your life is lived for the future,life
our brightest blazes of gladness are commonly kindled by unexpected sparks,inspirational
time travel and teleportation will have to wait it may take centuries to master these technology but within the coming decades we will understand dark matter perhaps test string theory find planets which can harbor life and maybe have brain 20 ie our consciousness on a disk which will survive even after we die,life
we need to shed our unearthly and nonsocial and idealistic and romantic and uberspiritual visions of kingdom and get back to what jesus meant by kingdom jesus means gods dream society on earth spreading out from the land of israel to encompass the whole world,inspirational
she was not for everyone but she was for me,love
there was no conflict between science and religion ever the conflicts were actually between two different systems of human understanding  one was science which was based on rigorous observations and examinations and the other was fundamentalism thats based on undisputed belief on the scriptures,philosophy
there are just traces of me and not a shadow leftwithout the traces of your iridescence to make my silhouette,love
i finally figured out why voldemorts face is so flat he ran into the wrong wall at the train station,humor
when i look back at that freedom of childhood which is in a way infinite and at all the joy and the intense happiness now lost i sometimes think that childhood is where the real meaning of life is located and that we adults are its servants  that thats our purpose,life
perhaps grief is not about empty but full the full breath of life that includes death the completeness the cycles the depth the richness the process the continuity and the treasure of the moment that is gone the second you are aware of it,life
ive been waiting for you for a very long time i raised her off my shoulders lowered her to me and guided her legs around my waist why did you take so long to come to meif i knew you were here i wouldve come so much sooner,love
when the things get hard there is a success near about,love
prayers likewise your positive thoughts can be based on gratitude and love,love
choice or no my heart is his,love
dont ever underestimate the importance of treating others with respect and kindness,inspirational
life is nothing but a transient dream dancing at the tip of a leaf called time,inspirational_philosophy_life
dont fear experience embrace each one as a gift a teacher a step to get closer to where you want to be and who you want to become,life
remember i might be the wind but you control the kite,love
i believe in spectacles but i think eyes necessary too,philosophy
the lot of the brideto be wed before beddesired until rottenthe lot of the authorto be read before bedadmired then forgotten,humor
love makes a happy life,life_love
to love a book is above all to love its author we want to meet him again we want to spend our days with him,love
when we suspect that we are appropriate targets for hurt it does not take much for us to believe that someone or something is out to hurt us,philosophy
she wasnt afraid of difficulties what frightened her was being forced to choose one particular pathchoosing a path meant having to miss out on others she had a whole life to live and she was always thinking that in future she might regret the choices she made nowim afraid of committing myself she thought to herself she wanted to follow all possible paths and so ended up following noneeven in that most important area of her life love she had failed to commit herself after her first romantic dissappointment she had never again given herself entirely she feared pain loss and separation these things were inevitable on the path to love and the only way of avoiding them was by deciding not to take that path at all in order not to suffer you had to renounce love it was like putting out your own eyes in order not to see the bad things in life,life_love
persistence is a necessary ingredient for success,inspirational_philosophy_life_love
the truth is life grows and evolved inside of you and it has nothing to do with any other person except you the truth of life grows and evolves in the form of understanding,life
bored with the same type of misery over and over and over again,love
so that when man can be in great distress having been betrayed and deserted by all friends he may find consolation in the idea that an ever true friend was still there to help him to support him and that he was almighty and could do anything the idea of god is helpful to man in distresssociety has to fight out this belief as well as was fought the idol worship and the narrow conception of religion similarly when man tries to stand on his own legs and become a realist he shall have to throw the faith aside and to face manfully all the distress trouble in which the circumstances may throw him,inspirational
i can be a goofball sometimes i love having a good time and being carefree,love
you know who you belong to jackyeahyourselfhes wrong actually i belong to ma,love
technology is too crazy for me but i would be very happy when they make phone that can cook,humor
i love you without knowing how nor when nor from wherei love you directly without problems or pridei love you this way because i know no other way to love,love
theres no claritythere was never meant to be clarity,life_love
be focused and learn what it takes to excel in your calling be patient and persistent in your drive to succeed be ready to pay the price of success because wealth without sweat is wishful thinking never give up on your dreams so you dont lose what can actually bring you true success,inspirational
the first time i met you i fell in love with you there and then but you didnt notice me then you stood me up and then i met you again and i hated you well i tried to hated you but then when you cleaned up after welly i fell in love with you all over again,inspirational_love
starting to believe life is just a sigh of death,life
it doesnt take many people to have a bad sense of humor to get in trouble at a corporation,humor
real people are actively trying to live like fake people so real people are no less fake every comparison becomes impractical this is why the impractical has become totally acceptable impracticality almost seems cool,life
without an anchor we can be drifted to any shore,inspirational
no one can put words into my mouth but they can put thoughts into my head,philosophy_life
our self development is all about conquering and recreating ourselves,life
im not a religious man but i do worship your ass,love
for the first time in my life i began to realize that it is not evil and brutality but nearly always weakness that is to blame for the worst things that happen in this world,life
when the deep purple fallsover sleepy garden walls and the stars begin to flicker in the skythru the mist of a memoryyou wander back to mebreathing my name with a sighin the still of the nightonce again i hold you tight tho youre gone your love lives onwhen moonlight beamsand as long as my heart will beatlover well always meethere in my deep purple dreams,love
if they criticise you before they cheer you on they are not your people simple,inspirational
life does not cease to be funny when people die any more than it ceases to be serious when people laugh,life
all you need is love and joy,inspirational_philosophy_life_love
wealth and intelligence should not be categorized as relatives,humor
not all paths offer a vista but every path offers a lesson,life
when we are bornit is into a strange worldand when we live lifewe find that we are all strangersyet when we diewe find that we were all friends who never knew it,philosophy_life
truthfully being pregnant is changing me as a person each day is part of this amazing journey that has completely shifted the focus of my life and made me reevaluate my personal and professional goals,life
the problem was i always took the blame but he was wrong but i thought me taking the blame could fix it,love
we are all worms but i do believe that i am a glow worm,inspirational
so often the discarded love of youth is desperately yearned for in maturity,love
the purpose of human life is to serve and to show compassion and the will to help others,life
find your bones believe in what you are,life_love
everyone wanted to believe that endless love was possible shed believed in it once too back when she was eighteen but she knew that love was messy just like life it took turns that people couldnt foresee or even understand leaving a long trail of regret in its wake and almost always those regrets led to the kinds of what if questions that could never be answered,life
the whole summer was inside of us,love
never let go of that fiery sadness called desire,inspirational
we must intentionally push ourselves out of our comfort zones if we are to make any significant progress on this side of life,life
babies do not want to hear about babies,life
an imaginative person can be spiritual but cant be religious,philosophy
the act of true giving is indistinguishable from receiving,love
there is a loveliness to life that does not fade even in the terrors of the night there is a tendency toward grace that does not fail us,inspirational_life
would he as well neglect the perishing person wouldnt he help to get up would he turn away i think i know the answer is obvious he was flying so high above each of us that after falling down he got below everybody else to be precise he was simply knocked down and we none of us just did nothing thus with everybodys silent acquiescence the best of us were eliminated in order to let others decay,inspirational
we dont fall in love with people because theyre good people we fall in love with people whose darkness we recognise you can fall in love with a person for all of the right reasons but that kind of love can still fall apart but when you fall in love with a person because your monsters have found a home in them thats the kind of love that owns your skin and bones love i am convinced is found in the darkness it is the candle in the night,love
have you ever looked for the root of production take a look at an electric generator and dare tell yourself that it was created by the muscular effort of unthinking brutes try to grow a seed of wheat without the knowledge left to you by men who had to discover it for the first time try to obtain your food by means of nothing but physical motionsand youll learn that mans mind is the root of all the goods produced and of all the wealth that has ever existed on earth,philosophy
it is through solitude that you can convert your time into something of value,life
you are enough you are worth it worth every ballad worth every word every action,love
conquering fear didnt mean not being afraid it meant being afraid of something and doing it anyway it meant saying no to fearno you cant rule me no you cant hold me back no you cant keep me from the things i want the most,inspirational
sometimes we can focus so much on nothing that we make it a big something of nothing,humor_life_love
find something in life that you love doing if you make a lot of money thats a bonus and if you dont you still wont hate going to work,life_love
well he said i think weve found our way in we just wait until theyre duking it out but trust me these humans first types dont have a lot of staying power or theyd have been at the gym with me before i doubt grandma kent there is going to do a lot of damage he pointed at a grayhaired hunched lady in a shawl carrying what looked liked a gardening tool its like plants versus zombies and im not rooting for the zombies weirdly enough,humor
to inquire into the intricacies of a distant landscape then is to provoke thoughts about ones own interior landscape and the familiar landscapes of memory the land urges us to come around to an understanding of ourselves,philosophy
those who apparently do evil do it ultimately out of love even if their actions are misguided for the moment,love
for a peaceful world the golden rules to live by are mutual understanding respect tolerance forgiveness and love,inspirational_philosophy
if you give a man a hammer he thinks he can solve all problems by pounding well god gave men penises,humor
my view of life is colored by humor and looking at the best in any situation,life
i prithee send me back my heartsince i cannot have thinefor if from yours you will not partwhy then shouldst thou have mineyet now i think ont let it lieto find it were in vainfor thou hast a thief in either eyewould steal it back againwhy should two hearts in one breast lieand yet not lodge togethero love where is thy sympathyif thus our breasts thou severbut love is such a mysteryi cannot find it outfor when i think im best resolvedi then am in most doubtthen farewell care and farewell woei will no longer pinefor ill believe i have her heartas much as she hath mine,love
you must stop living under the pressure of the environment and surrounding and culture and tradition,life
given the choice between one lifetime spent with you or a thousand without i will always choose you,love
promise yourself to forgive everyone love everyone and judge no one,inspirational_philosophy
truth according to the christian faith is gods love for us in jesus christ therefore truth is a relationship,love
never depend on a single income make investments to create a second source  warren buffet,love
i believe that if life gives you lemons you should make lemonade and try to find somebody whose life has given them vodka and have a party,life
in the midpath of my life i woke to find myself in a dark wood writes dante in the divine comedy beginning a quest that will lead to transformation and redemption a journey through the dark of the woods is a motif common to fairy tales young heroes set off through the perilous forest in order to reach their destiny or they find themselves abandoned there cast off and left for dead the road is long and treacherous prowled by wolves ghosts and wizards  but helpers also appear along the way good fairies and animal guides often cloaked in unlikely disguises the heros task is to tell friend from foe and to keep walking steadily onward,inspirational
turn your failure into a fairy tale of success and triumph,inspirational_philosophy
what if at school you had to take an art class in which you were only taught how to pain a fence what if you were never shown the paintings of leonardo da vinci and picasso would that make you appreciate art would you want to learn more about it i doubt itof course this sounds ridiculous but this is how math is taught,love
if we are to rise as real sapiens we must work towards spreading education among the masses,inspirational
not knowing anything not searching for anything understanding that we cant hold on to anything leaves us with nothing  nothing except our original nature pure awareness,inspirational
success without a successor is a failure,life
the difference between ordinary and extraordinary is just a little bit extra,inspirational
football is a great deal like life in that it teaches that work sacrifice perseverance competitive drive selflessness and respect for authority is the price that each and every one of us must pay to achieve any goal that is worthwhile,life
the depth of our compassion is proportional to the depth of our living 65,life
it was february sixth eight days until valentines day i was dateless as usual deep in the vice grip of unrequited love it was bad enough not having a boyfriend for new years eve now i had to cope with valentine datelessness feeling consummate social pressure from every retailer in america who stuck hearts and cupids in their windows by january second to rub it in,humor
in all things there is beauty in the glint of dew clinging to the strands of a spiders web in the way the setting sun winks off shards of broken glass in the rainbow forming in the soap suds in a sink full of dirty dishes in a blade of grass which manages to force its way with patience and time through the all too willing grasp of sidewalk cement it is in the faded brown of leaves turning twisting against their fate as they fall to the ground light and dry as brittle bones and in the bare thintipped branches denuded by a change in season it is in the way a strangers laughter cradles you if you let it it is in the intricate scars of a lovers back and in our upturned eyes when we ask for forgiveness,inspirational_life
being passionate about something is the most beautiful characteristic you can develop,life
on her one glance upwards enough paintings are created by heavenly maidens on the magical canvas of god,love
i love you he stabbed a thumb at his chest as he glared at herof course he did lucien had never hidden the fact but the love of a friend while comforting was not enough anymoreit did not soothe the restless discomfort that pushed against her chest or quell the loneliness that seemed to grow within her each passing day,love
nobody is sure of his life property and health when the parliament deliberates,life
the truth is that relative income is not directly related to happiness nonpartisan socialsurvey data clearly show that the big driver of happiness is earned success a persons belief that he has created value in his life or the life of others,life
but he knew she was a star and he only human he was never meant to reach the stars  he could only admire them from afar,love
if a man has been his mothers undisputed darling he retains throughout life the triumphant feeling the confidence in success which not seldom brings actual success along with it,life
he is not a lover who does not love forever,love
love the animals love the plants love everything if you love everything you will perceive the divine mystery in things once you perceive it you will begin to comprehend it better every day and you will come at last to love the whole world with an allembracing love,love
im just a girl with a pen and a dream,inspirational
there are words in the soul of a newborn baby wanting and waiting to be written,life
remember you always have the option of taking to the sea,inspirational_life
i saw a dead bird flying through a broken sky i heard it and it said the world will never understand,life_love
hope is a flowing stream,life
his gaze settled on her mouth have you been kissed before inspectorwhy if he wanted virgin lips shed claim to have serviced an armyif its your first ill do it differentlyyou wont do it at allyes i will,humor
the american educational psychologist patricia alexander has expressed the view that fear paralyses and curiosity empowers accordingly she reasons we should always be more interested than afraid,philosophy
it was a sign of how worried and confused i was that i wasnt completely distracted by the sight of his powerful thighs flexed in front of me,humor
and if you say i love you and you mean it then love makes up for a whole lifetime of mistakes thats some kind of magic,love
things do not belong to us but we belong to things,inspirational_philosophy
you will encounter disappointments in your ministry in yourself and even in god himself but remember that all these are intrigues of the devil,life
heres how you think about it together you constructed many things throughout your life then her body disappeared but the constructions still remain human beings die thats natural but to accept her death is to lose all hope,life
only the gentle are ever really strong,inspirational
do you pray for the senators dr hale someone asked the chaplain no i look at the senators and i pray for the country,humor
do not lose the person god created you to be trying to be the person the world wants you to be you are not created to fit it in you are here on earth for a greater purpose,life
it is during our failures that we discover our true desire for success,inspirational
cut away the nonsense the drama the regret the scars of the past and make a decision to no longer let them govern your happiness and freedom,life
imagine yourself having a fight with your romantic partner the tension of the situation makes your limbic system run at full throttle and you become flooded with stress hormones like cortisol and adrenalin the high levels of these chemicals suddenly make you so damn angry that you burst out in front of your partner saying i wish you die so that i can have some peace in my life given the stress of the situation through highly active limbic system your pfc loses its freedom to take the right decision and you burst out with foul language in front of your partner that may ruin your relationship in simple terms due to your mental instability you lost your free will to make the right decisionbut when the conversation is over and you relax for a while your stress hormone levels come down to normal and you regain your usual cheerful state of mind immediately your pfc starts analyzing the explosive conversation you had with your partner healthy activity of the entire frontal lobes especially the pfc suddenly overwhelms you with a feeling of guilt your brain makes you realize that you have done something devilish as a result now you find yourself making the willful decision of apologizing to your partner and making up to him or her no matter how much effort it takes because your pfc comes up the solution that it is the healthiest thing to do for your personal lifefrom this you can see that what you call free will is something that is not consistent it changes based on your mental health mental instability or illness truly cripples your free will and the healthier your frontal lobes are the better you can take good decisions and the most effective way to keep your frontal lobes healthy is to practice some kind of meditation,life_love
we are not poor because we do not have money we are poor because we do not know how to make money,life
the world isnt fair calvini know dad but why isnt it ever unfair in my favor,humor
i know a man who drives 600 yards to work i know a woman who gets in her car to go a quarter of a mile to a college gymnasium to walk on a treadmill then complains passionately about the difficulty of finding a parking space when i asked her once why she didnt walk to the gym and do five minutes less on the treadmill she looked at me as if i were being willfully provocative because i have a program for the treadmill she explained it records my distance and speed and i can adjust it for degree of difficulty it hadnt occurred to me how thoughtlessly deficient nature is in this regard,humor
dont wait for other people to be loving giving compassionate grateful forgiving generous or friendly lead the way,life
success doesnt come from motivation it comes from inspiration rvm,inspirational
i looked at all the caged animals       the castoffs of human society i saw in their eyes love and hope fear and dread sadness and betrayal and i was angrygod i said this is terrible why dont you do somethinggod was silent for a moment and then he spoke softlyi have done something  i created you,love
he can guess but he wont ever know not really what it was like what she was thinking everything shed never told him,life
one smile makes two smiles and two makes many smiles so keep smiling  ,inspirational_life
jesus confronted many of the important issues of his time he went into the temple taught the new testament message and took action against those who were buying and selling on holy ground he healed the widow forgave the adulterer and by his example the righteous walked away in shame he had said whoever is without sin cast the first stone john 87  paraphrase not one pebble nor one rock was thrown he who had that right to judge jesus christ did not cast judgement either he looked upon the sinner lovingly and embraced them he guided them to change and opened blind eyes to see by christ alone was and is salvation attained truth is in the new testament and a holy spiritguided understanding of it it must be read without regard for self for when self enters in that is when misinterpretations and heresies arise,life
bashere shrugged grinning brhind his greystreaked moustaches when i first slept in a saddle muad cheade was marshalgeneral the man was as mad as a hare in spring thaw twice every day he searched his bodyservant for poison and he drank nothing but vinegar and water which he claimed was sovereign against the poison the fellow fed him but he ate everything the man prepared for as long as i knew him once he had a grove of oaks chopped down because they were looking at him and then insisted they be given decent funerals he gave the oration do you have any idea how long it takes to dig graves for twentythree oak trees why didnt somebody do something his family those not as mad as him or madder were afraid to look at him sideways tenobias father wouldnt have let anyone touch cheade anyway he might have been insane but he could outgeneral anyone i ever saw he never lost a battle he never even came close to losing,humor
if you have to walk along a dark mountain path dont you prefer to have a flashlight to shine on the path ahead i would suggest that it is possible to have that flashlight in life all the time what does a flashlight give us lightthat is a flashlight sheds light it is like the faculty of attentionif we turn our full attention to something we learn more about that thing we are seeing it with more light our attention is our flashlight so its all about how much and how fun an attention we consciously bring to life this quality of attention doesnt make us hesitant or slow to decide particularlyjust as the flashlight doesnt make us hang back on the trail so how do we get to the better quality of attention with attention that is we turn our attention on our attention we start by trying to see how we dont pay attention we sort of keep that light on ourselves know thyself has been an honored ancient teaching and its still a cornerstone of the worlds greatest philosophies if you watch yourself honestly in a detached waynot guilttripping yourself when you screw upyou gradually learn where it was that you were just blundering along reacting sort of mechanically and being asleep even as you were in your waking day another way to make this happen is by returning your whole attention to the presentto whats happening now in this moment and this moment and onwithin yourself and around you,life
a lion does not flinch at laughter coming from a hyena,life
when i try to make other people happy i become happy,inspirational_philosophy_life_love
she still talks to me now only now she talks to me in my dreams and i cant wait to go to sleep tonight because we have a lot to talk about i love you,love
but who is ever fair in an argument,humor
she was the most beautiful creature on earth  her hair said so in that language only hair can speak,love
keep in mind that the reason you know you can be good to others is only because youve taken strides to be better for and to yourself,life_love
dont confuse love with the fear of being lonely,love
in lifeyou can either play the hand youve been dealt or decide to fold just remember that you are not alone in this journey of life people experience hardships all the time you learn from those difficult moments and become stronger,life_love
creation of a pregnant imagination,love
tenderness emerges from the fact that the two persons longing as all individuals do to overcome the separateness and isolation to which we are all heir because we are individuals can participate in a relationship that for the moment is not of two isolated selves but a union,love
so when the moons only partly full you only feel a little wolfy you could say thatwell you can go ahead and hang your head out the car window if you feel like itim a werewolf not a golden retriever,humor
we all possess a hidden power to control our destiny attitude and determination are the keys we must use to unleash it,inspirational
if you actually are an educated thinking person you will not be welcome in washington dc i know a couple of bright seventh graders who would not be welcome in washington dc,humor
he emerged out of the lake the declining sun drenching him with aureate light the droplets on his body iridescent in their beams he walked confidently toward her almost every inch of his sculptured body exposed in his black swimsuit each sharp contour of muscle glistened each limb unfolded with lithe grace as he approached his eyes riveted on her coral watched spellbound a yearning surging up within her eager and expectant the air around them trembled with infinite anticipation,love
thoughts have unfathomable dimension,philosophy_life
when you see the world through your mind you are very judgmental see the world through your heart and be nonjudgmental,inspirational_philosophy_life_love
pushing your limits is what allows you to grow stronger so if you find yourself feeling passive it can make sense to dial it up a little get moving accomplish something small do something you enjoy embrace what moves you and start again,inspirational_life
we were all made with the potential to be the people we are supposed to be we all have souls and we all have minds and we all have wills many people look at the world and see a beautiful place full of potential and love and beauty those are the people you want as friends but many people look at the world and see a place that hurts that causes pain that destroys and corrupts those are the people you dont want to have as friends for those are the people who will pull you down with them who will fill your mind with similar thoughts who will turn you from a positive person to a negative person god made us all with the potential to be positive people contributing to the growth of this world but many people choose to be negative diminishing the light of those who wish to do good why walker asked because my friend its easier its unfortunate but its true its much easier for a person to think that the world will not let him advance because then that person wont have many expectations of himself and its easier to fulfill low expectations,love
i wake abruptly my breath jagged and heart racing my mouth stale and i know immediately thats it im awake the more i want to be oblivious the less i can be life and light will not let me be,life
there are lot of things we dont want to know about the people we love,life_love
all the failures in my life freed me from all my fears so that i can succeed,inspirational_humor_philosophy_love_life
but how wonderful when the tale is toldand the message that is meant for usopens like the scents of a mountain flower,inspirational
children inherit their parents madness,humor
thats the trouble with grand passions of course you can never entirely cleanse yourself of them its best to avoid them altogether,love
when people walk away from you let them go your destiny is never tied to anyone who leaves you and it doesnt mean they are bad people it just means that their part in your story is over,life
sometimes you want to say i love you butyet the but takes away the i love you in love their are no buts or ifs or when its just there and always no beginning no end its the conditionless state of the heart not a feeling that comes and goes at the whim of the emotions it is there in our heart a part of our hearteventually grafting itself into each limb and cell of our bodies love changes our brain the way we move and talk love lives in our spirit and graces us with its presence each day until deathto say i love you but is to say i did not love you at alli say this to you now i love you with no beginning no end i love you as you have become an extra necessary organ in my body i love you as only a girl could love a boy without fear without expectations wanting nothing in return except that you allow me to keep you here in my heart that i may always know your strength your eyes and your spirit that gave me freedom and let me fly,love
if you know someone whos depressed please resolve never to ask them why depression isnt a straightforward response to a bad situation depression just is like the weathertry to understand the blackness lethargy hopelessness and loneliness theyre going through be there for them when they come through the other side its hard to be a friend to someone whos depressed but it is one of the kindest noblest and best things you will ever do,life
you can easily tell hes a newlywed  because hes still smiling at his motherinlaw,love
my task which i am trying to achieve is by the power of the written word to make you hear to make you feelit is before all to make you see,inspirational
i am part of a minority that is deeply misunderstood people have very confused ideas about us many are frightened of us ive even heard it said that many people wouldnt want their daughters or sons to marry one of us and i know of people who have been denied jobs or promotions because they share this trait with me but being what i am does not make me bad being what i am does not make me dangerous being what i am does not mean i dont love or hurt or have a sense of humor my name is malclom decter and im here today to tell the whole world what i am  i am an atheist,inspirational
there is nothing worse for the lying soul than the mirror of reality,life
we become what we believe,life
loving him made me never want to love another human being,life_love
jimmy murray you are an ass said aunt ruth angrilywell were cousins agreed cousin jimmy pleasantly,humor
here is a girl who is pretty in a quiet way i bet shes had a very sad life,life
the purpose of karate is to guide you out of trouble by any means necessary both in actual combat and in life,life
7 effective ways to make others feel important 1 use their name2 express sincere gratitude3 do more listening than talking4 talk more about them than about you5 be authentically interested6 be sincere in your praise7 show you care,inspirational_life
i had a dream about you at first you were a mannequin and i was a fashion designer then inexplicably we switched roles and i became the mannequin but instead of putting clothes on me you laughed at my nakedness and you sold me to the owner of a sex shop,humor_life
bush reiterated his stand to conservatives opposing his decision on stem cell research he said today he believes life begins at conception and ends at execution,life
funny how the most beautiful people in the world arent always the types to gloss the covers of magazines and yet most people spend their lives trying to turn heads,inspirational
family was even a bigger word than i imagined wide and without limitations if you allowed it defying easy definition you had family that was supposed to be family and wasnt family that wasnt family but was halves becoming whole wholes splitting into two it was possible to lack whole honest love and connection from family in lead roles yet to be filled to abundance by the unexpected supporting players,love
if youre treating people poorly then youre not emulating gods love god always resides with the broken hearted,love
jealousy always trumps schadenfreude its a rule from the heartbreak version of rock paper scissors,love
fight your fears with fierce and your life becomes fabulous,inspirational_life
courage to me is doing something daring no matter how afraid insecure intimidated alone unworthy incapable ridiculed or whatever other paralyzing emotion you might feel courage is taking actionno matter what so youre afraid be afraid be scared silly to the point youre trembling and nauseous but do it anyway,inspirational
everyone at every minute of his life must feel something only the dead have no sensations,life
it is love  not reason  that is stronger than death,life
love is always winwin,love
